Name	Термин	Spec	HW	Github link	YT link
Dron_Loznica	Група 2 - Петак 8:30-11:00	4 esc Quadcopter	Dron	https://github.com/sstv2274/OSuRV_2025/tree/main/Dron_Loznica	https://youtu.be/396h8l0CKbs
Dron_2	Група 3 - Четвртак 9:45-12:25			TODO	TODO
Car	Група 1 - Четвртак 7:00-9:30			https://github.com/sijacic12345/OSuRV_2025.git	https://youtu.be/PeaWx5RzGcw
Garbage_Sort	Група 3 - Четвртак 9:45-12:25		Trake	https://github.com/ilicicv/OSuRV_2025  https://www.youtube.com/shorts/IFT6f-TpfYg
Fishing	Група 2 - Петак 8:30-11:00		Senzor, steper	https://github.com/babic004/OSuRV_2025.git	https://www.youtube.com/watch?v=np8vvSq992Y
Flags	Група 3 - Четвртак 9:45-12:25		Jetson shield	https://github.com/petarlazic04/OSuRV_2025.git	https://youtu.be/rRIwtviOpec?si=rnYFPK_rJialT0vG
Oximeter	Група 3 - Четвртак 9:45-12:25		senzori	https://github.com/smiljakrulj/OSuRV_2025	https://youtu.be/QhFH0FVt4hI?si=0s-enTSTCH3rRLCF
RC_Tank	Група 1 - Четвртак 7:00-9:30	tank chasis + camera	Tenk, RPI camera?	https://github.com/boskomit/OSuRV_2025	https://www.youtube.com/watch?v=keiiRF_RTXY
Radar	Група 3 - Четвртак 9:45-12:25	TOFs, ultrasound distance	EC	TODO	https://youtu.be/WlyI615EEv0
Fingerprint_Lock	Група 2 - Петак 8:30-11:00	door(electronic locking)+fingerprint	Vrata	 https://github.com/nikolic05/OSuRV_2025 https://youtu.be/sescd2z-CuA?si=Fg1xONOKqFUW6IuE
Robo_Arm		robot arm + some camera	Jetson shield, Ruka	TODO	TODO
Bosch_1				TODO	TODO
Bosch_2				TODO	TODO
Eurobot				(https://github.com/Vladimir-Andrisko/OSuRV_2025)	(https://www.youtube.com/watch?v=qB4zpm3f458)
Goal_Game      https://github.com/danijel2110/OSuRV_2025  https://www.youtube.com/watch?v=TgphyNc8vEQ
E_Reader_Remote				https://github.com/eru27/OSuRV_2025/tree/main	https://drive.google.com/file/d/1L49up3Uuyhs8C8j3ao9802k6Elcs2_N3/view?usp=drivesdk
